temp,pression,hum,CO,CO2,PM2.5,PM10,feu
10.04,944.08812683453,100,0.5,516.307821273803,2.5,5.3,0
11.67,941.739693809537,100,0.5,445.129146575927,3.3,9.2,0
17.2,943.379723590174,74.2671702167037,0.5,407.660474777221,0.8,2.5,0
11.62,942.064535026132,100,0.5,462.124814987182,3,9.2,0
12.59,932.754938908841,100,0.5,487.964620590209,7,20.9,0
12.46,945.680793960308,100,0.5,509.113540649414,2.3,4.7,0
9.47,941.953570474869,100,0.5,497.634878158569,7.6,9.7,0
17.98,933.15603709826,65.7197376231471,13.4,540.380945205688,17.2,46.5,1
9.84,941.522339990932,100,0.5,507.733097076416,3.8,5.4,0
9.06,941.054707741893,100,0.5,497.789850234985,4.6,6.3,0
12.64,932.780851572208,100,0.5,492.952337265014,7.3,22.8,0
10.2,939.770734697534,100,0.5,512.769689559936,3,10.1,0
21.24,944.423482460605,42.2288423973948,0.5,397.963991165161,0.7,3.1,0
12.5,940.809038512228,100,0.5,444.14924621582,3.7,10.4,0
12.36,941.110110362966,100,0.5,475.204458236694,3,8.2,0
31.48,937.597617871662,35.5293684917988,7.3,438.846817016601,999.9,1487.1,1
17.03,943.042003215045,60.0709415198086,0.5,413.704385757446,6.4,8,0
19.39,944.396839169064,48.5044087814519,0.5,397.770872116088,0.8,3,0
10.38,941.190385961869,100,0.5,515.733232498168,3.9,6,0
13.77,945.327755955214,100,0.5,476.238002777099,0.7,2,0
18.17,933.390063856945,68.0099310508372,74.6,620.99980354309,18.1,45.9,1
12.02,945.552555296601,100,0.5,503.055324554443,2.2,3.7,0
9.08,942.48065038324,100,0.5,471.783151626586,3.5,8.5,0
15.05,939.964883091667,62.9917630608795,0.5,397.718420028686,3.5,10.7,0
16.25,941.230372814707,59.056371911923,0.5,417.545309066772,3.5,9.6,0
17.07,940.858001528445,49.9949909855701,0.5,407.710542678833,3.3,9.5,0
12.5,945.725764511772,100,0.5,496.02912902832,2.1,4.4,0
10.95,940.486343872834,100,0.5,484.877099990844,3.1,8.6,0
13.12,939.521337263368,100,0.5,492.111911773681,3.8,5.3,0
12.38,940.229472506776,100,0.5,479.180088043212,3,9.1,0
13.45,944.717780664045,100,0.5,510.119667053222,2.4,7.4,0
10.04,940.678216911607,100,0.5,490.75888633728,3.5,9.7,0
12.92,940.854471798018,100,0.5,479.152669906616,2.9,8.4,0
20.98,944.02868962009,42.1757008095716,0.5,398.117771148681,0.8,1.9,0
10.1,942.612087279949,100,0.5,472.987165451049,3.1,7.5,0
8.87,942.532831799227,100,0.5,496.646633148193,3.3,7.7,0
15.82,934.092895208346,79.4578055137651,0.5,479.406585693359,8.7,26.6,0
12.62,933.105481703813,100,0.5,487.055053710937,8.2,22.9,0
14.75,944.332507370645,100,0.5,445.338954925537,0.9,3,0
13.18,941.419399196538,100,0.5,500.100126266479,3.1,8.5,0
10.03,940.05264880327,100,0.5,517.691841125488,2.7,9.3,0
12.9,945.955512254105,100,0.5,459.187498092651,2.5,4.6,0
19.22,940.783855208995,46.71486432753,0.5,398.786535263061,2.8,9.1,0
12.54,940.472962709501,100,0.5,512.973537445068,3.4,4.3,0
9.7,942.048850812233,100,0.5,491.866340637207,7.4,8.7,0
19.18,943.917646905022,46.0534891946197,0.5,397.913923263549,0.8,1.5,0
26.51,943.48795944071,35.4151888947597,0.5,415.148010253906,3.2,7.1,0
10.11,940.689832493428,100,0.5,480.863323211669,3.5,9.3,0
12.59,940.443217809549,100,0.5,513.027181625366,3.4,4.6,0
18.86,941.699872278721,57.5470371221929,0.5,425.850620269775,5.5,6.3,0
18.21,942.796492165372,59.8686292923402,0.5,416.678657531738,5.6,7.7,0
8.74,941.381979741343,100,0.5,491.712560653686,7.3,9,0
18.23,941.499585433776,59.6525746975509,0.5,422.827472686767,5,5.8,0
20.11,942.545230195384,45.4270439763672,0.5,397.932996749877,1.1,2.3,0
11.23,944.665651844427,100,0.5,495.996942520141,2.2,6.2,0
13.33,939.876590040529,92.8945059133273,0.5,409.363975524902,3.3,8.2,0
12.74,940.648724375159,100,0.5,504.088869094848,3.1,8.9,0
16.71,939.986162962374,47.2402839937115,0.5,398.632755279541,3.1,8.7,0
34.46,943.795113415026,25.0263926137982,0.5,398.319234848022,3.8,10.1,0
29.41,937.443724053468,42.1924379794934,12.6,497.681369781494,999.9,1848.5,1
8.83,942.564484268114,100,0.5,475.762357711791,3.7,10.4,0
11.52,942.240110322457,100,0.5,448.167791366577,2.8,9.6,0
19.85,942.514449058722,53.9200847329069,0.5,420.803298950195,5.3,7.2,0
9.87,941.478763380986,100,0.5,500.390996932983,3.9,6.1,0
